Open time,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
1641225600,46693.44000000,46780.00000000,46263.29000000,46482.34000000,3415.75302000,158637726.51635430,80077,1721.42638000,79931229.93407420
1641229200,46482.34000000,46790.00000000,46411.78000000,46577.15000000,1121.75227000,52288357.29324900,39281,567.79749000,26466519.46936640
1641232800,46577.16000000,46740.96000000,46412.99000000,46472.73000000,662.25000000,30838195.27666630,32003,305.47713000,14222899.57392170
1641236400,46475.60000000,46645.34000000,46360.00000000,46360.01000000,661.70660000,30781303.11394870,27929,337.98922000,15720957.95771260
1641240000,46360.01000000,46413.47000000,45696.00000000,45922.00000000,3127.50381000,143787456.71962720,75059,1450.68943000,66677714.63941810
1641243600,45922.01000000,46260.44000000,45811.87000000,45979.01000000,1055.66747000,48591220.46777690,36692,478.35709000,22021036.77608430
1641247200,45979.01000000,46439.97000000,45961.59000000,46217.90000000,1002.70049000,46324222.05491480,39674,482.29605000,22281019.68682910
1641250800,46217.91000000,46576.94000000,46170.64000000,46446.10000000,1055.33575000,48968310.05956090,29425,503.52171000,23364301.34807160
1641254400,46446.10000000,46549.19000000,46150.00000000,46244.37000000,1055.75335000,48932193.53586030,39084,525.76439000,24368704.54375380
1641258000,46244.37000000,46404.94000000,46040.79000000,46054.99000000,771.65428000,35662580.32762820,30598,380.88340000,17600509.06879410
1641261600,46054.99000000,46268.72000000,45934.50000000,46103.36000000,1021.46917000,47077201.10001190,34666,504.22724000,23238633.59524810
1641265200,46103.36000000,46383.77000000,46001.23000000,46313.97000000,755.88587000,34930544.80256200,26480,416.26222000,19235487.15466380
1641268800,46313.96000000,46411.12000000,45996.26000000,46100.14000000,2070.65890000,95550626.66035890,42738,1433.80438000,66142033.86195740
1641272400,46100.14000000,46292.15000000,46016.24000000,46151.66000000,869.60169000,40118489.24870500,26977,508.09614000,23441481.02110160
1641276000,46148.23000000,46390.04000000,46058.51000000,46367.53000000,1240.05303000,57357655.27988450,29503,515.36463000,23833737.92204350
1641279600,46367.53000000,46600.21000000,46322.09000000,46550.00000000,1554.03810000,72207539.25429850,37679,747.73455000,34747699.43992930
1641283200,46549.99000000,46682.06000000,46385.61000000,46489.73000000,1316.31063000,61275173.87467940,37675,586.76314000,27318601.67886180
1641286800,46489.72000000,46599.53000000,46300.00000000,46356.21000000,856.18802000,39764326.28549240,29481,378.95353000,17604139.71755790
1641290400,46356.21000000,46772.41000000,46300.00000000,46625.37000000,1162.38531000,54095516.70737770,34161,617.41550000,28731859.89615170
1641294000,46625.37000000,46765.05000000,46616.46000000,46733.77000000,1351.64824000,63122601.39312390,40742,665.87597000,31096955.42526630
1641297600,46733.78000000,46763.00000000,46479.25000000,46641.53000000,897.32283000,41799825.72145110,35094,447.19799000,20830644.33321790
1641301200,46641.52000000,47069.01000000,46410.00000000,46955.22000000,1511.87787000,70755552.37874870,52269,782.92504000,36647431.06303830
1641304800,46955.22000000,47500.10000000,46805.54000000,47333.38000000,3051.43768000,144120144.80119630,72031,1426.89765000,67353109.48985490
1641308400,47336.98000000,47557.54000000,46850.05000000,46925.35000000,2605.26496000,123225257.16011310,67538,1217.07870000,57567938.69039790
1641312000,46925.34000000,46925.35000000,46650.00000000,46767.27000000,1774.71297000,83035484.88624690,53988,930.14291000,43515439.34040590
1641315600,46767.28000000,46984.99000000,46522.91000000,46555.01000000,782.53703000,36619848.59796280,36764,381.33936000,17849859.77401210
1641319200,46555.00000000,46719.78000000,45500.00000000,45750.00000000,4580.41041000,210647730.94605530,91427,2108.19516000,96930374.50471320
1641322800,45750.01000000,46454.86000000,45580.99000000,46052.36000000,2717.79608000,125405157.64137650,69526,1368.13905000,63135419.27379400
1641326400,46052.35000000,46428.27000000,45957.52000000,46264.92000000,1111.32358000,51379184.31593090,36535,569.05363000,26304977.58266400
1641330000,46264.92000000,46322.89000000,46026.75000000,46221.89000000,713.51555000,32951624.00853970,30041,316.83315000,14631557.95260080
1641333600,46221.89000000,46262.39000000,45977.78000000,46159.91000000,671.31500000,30975021.07308670,31149,348.03341000,16060819.48570660
1641337200,46159.91000000,46159.91000000,45760.05000000,45832.01000000,1048.25305000,48161144.12692270,35669,512.28694000,23538048.26507260
1641340800,45832.01000000,46298.56000000,45722.21000000,46271.57000000,1006.79621000,46359307.99728160,36432,507.80240000,23382307.47535470
1641344400,46271.56000000,46333.22000000,46111.50000000,46111.50000000,726.20925000,33573387.57588630,26849,345.34274000,15964329.50847720
1641348000,46111.50000000,46390.15000000,46111.50000000,46296.95000000,639.23432000,29582995.98967420,24714,344.49077000,15940035.90046260
1641351600,46296.96000000,46549.00000000,46296.95000000,46422.55000000,662.40091000,30761543.25956320,27152,366.24122000,17008481.83061680
1641355200,46422.56000000,46527.39000000,46350.65000000,46414.47000000,508.72042000,23620126.11187090,20554,291.62213000,13540298.64724570
1641358800,46419.00000000,46419.00000000,46246.01000000,46302.80000000,494.64292000,22907983.28542940,21691,213.52577000,9887153.84706280
1641362400,46302.79000000,46466.65000000,46251.10000000,46450.00000000,608.83518000,28216032.99181520,26149,276.71910000,12826169.60895340
1641366000,46450.00000000,46490.20000000,46333.78000000,46407.51000000,572.83580000,26581167.51350450,25106,264.69067000,12282799.95750860
1641369600,46407.50000000,46681.61000000,46250.49000000,46642.07000000,961.44434000,44697750.57953010,29485,479.03764000,22273539.72846390
1641373200,46636.78000000,46949.00000000,46575.01000000,46858.94000000,1536.64847000,71869939.44464120,41848,696.73056000,32583530.50773530
1641376800,46858.93000000,47070.00000000,46697.79000000,46818.50000000,1629.77569000,76390709.73711650,42818,881.96113000,41341700.19535810
1641380400,46818.50000000,46869.25000000,46110.00000000,46270.99000000,1495.93677000,69469890.55597350,47453,672.83407000,31242658.79390880
1641384000,46271.00000000,46348.20000000,45803.67000000,46229.99000000,1882.06245000,86768772.38547020,53856,873.18181000,40273903.41661860
1641387600,46229.99000000,46466.66000000,46112.59000000,46440.01000000,1021.81875000,47316373.04289800,38631,477.47338000,22109853.68827080
1641391200,46440.00000000,46822.17000000,46150.35000000,46689.52000000,1923.98717000,89391283.84340430,54689,1020.76399000,47439693.95353310
1641394800,46689.52000000,46822.16000000,46368.63000000,46622.53000000,1228.39420000,57263711.53447430,45288,581.19882000,27093652.66406780
1641398400,46622.53000000,46674.37000000,46282.05000000,46301.62000000,1014.13701000,47134729.00182970,35192,480.64201000,22342282.93733820
1641402000,46301.62000000,46469.66000000,46001.00000000,46010.72000000,1192.45603000,55111083.97771870,45304,501.71123000,23193079.39281030
1641405600,46010.72000000,46365.68000000,45550.00000000,45919.92000000,3668.50105000,168106889.85720030,82676,1631.82781000,74793037.64674680
1641409200,45919.93000000,46118.85000000,44500.00000000,44685.93000000,7383.66525000,333701859.63698710,176642,3020.55033000,136608043.37340020
1641412800,44685.93000000,44847.99000000,43722.54000000,43967.01000000,8054.81116000,355951079.33032220,173154,3669.74759000,162208074.03275390
1641416400,43967.01000000,44331.42000000,43422.54000000,43606.37000000,3844.19955000,168440377.14158760,105598,1740.20167000,76296323.16389460
1641420000,43602.49000000,43815.20000000,42500.00000000,43437.05000000,6856.64070000,296204022.00207820,219246,2879.58646000,124568951.07956950
1641423600,43437.04000000,43709.12000000,43212.00000000,43451.13000000,2869.96497000,124867527.84919120,78005,1335.11130000,58087325.00698970
1641427200,43451.14000000,43772.41000000,43261.62000000,43680.94000000,2221.24911000,96687188.42386670,57150,1102.85730000,48007765.20503290
1641430800,43680.94000000,43816.00000000,43306.48000000,43542.69000000,1908.16444000,83198518.21767080,52209,846.49356000,36905428.97821080
1641434400,43542.69000000,43618.34000000,43150.05000000,43259.54000000,1450.03547000,62866097.88302370,44494,699.99478000,30348907.31139250
1641438000,43259.55000000,43310.69000000,42803.37000000,42835.00000000,2327.84721000,100263747.24364020,60432,1097.34016000,47267014.79456590
1641441600,42835.00000000,43159.17000000,42600.05000000,43029.73000000,3057.27840000,131131519.12395220,66722,1534.93455000,65833966.48397320
1641445200,43029.73000000,43246.37000000,42800.00000000,43050.01000000,1649.15193000,71005211.28273870,48730,810.16899000,34888828.83856010
1641448800,43050.00000000,43231.85000000,42902.65000000,43102.28000000,1265.54726000,54472430.99787570,40989,676.41540000,29112273.11809640
1641452400,43102.28000000,43275.80000000,42987.73000000,43245.25000000,1176.41332000,50766629.53033330,38723,680.69393000,29375218.98406900
1641456000,43245.26000000,43273.87000000,42900.00000000,43055.41000000,1527.52833000,65796291.32414030,49588,712.96775000,30710888.75468760
1641459600,43055.42000000,43089.86000000,42430.58000000,42597.87000000,2907.67194000,124247657.58395550,78514,1352.51365000,57807931.20587070
1641463200,42597.87000000,42960.00000000,42568.22000000,42878.88000000,1969.46675000,84252846.80232080,57213,917.93889000,39267446.65475650
1641466800,42878.87000000,42974.21000000,42677.28000000,42878.34000000,1347.12718000,57738935.11614180,45196,689.53953000,29557633.25904940
